PERIODO,SEMEPI,NIVEL,RAMO,LISTDX,CVEDX,TIP_SEXO,GEDAD,DURACI,NDIAS,FREC,TIPCAS,TRABAJADOR
2017,37,99,2,2,IM237,1,5,2,2,1,1,No IMSS
2017,37,99,2,2,IM237,1,6,15,15,1,1,No IMSS
2017,37,99,2,2,IM237,2,4,1,1,1,1,IMSS
2017,37,99,2,2,IM237,2,4,1,2,2,1,No IMSS
2017,37,99,2,2,IM237,2,5,3,3,1,1,No IMSS
2017,38,14,2,2,IM127,1,4,2,2,1,1,No IMSS
2017,37,99,1,2,49,1,4,17,17,1,1,No IMSS
2017,37,99,1,2,49,2,5,8,8,1,1,No IMSS
2017,37,99,2,2,127,1,1,1,1,1,1,No IMSS
2017,37,99,2,2,127,1,2,6.333333333333333,38,6,1,No IMSS
2017,37,99,2,2,127,1,3,7.111111111111111,64,9,1,No IMSS
2017,37,99,2,2,127,1,4,1,1,1,1,IMSS
2017,37,99,2,2,127,1,4,8.933333333333334,134,15,1,No IMSS
2017,37,99,2,2,127,1,5,9.058823529411764,154,17,1,No IMSS
2017,37,99,2,2,127,1,6,11.142857142857142,78,7,1,No IMSS
2017,37,99,2,2,127,2,1,5.5,11,2,1,No IMSS
2017,37,99,2,2,127,2,2,8,48,6,1,No IMSS
2017,37,99,2,2,127,2,3,5,25,5,1,No IMSS
2017,37,99,2,2,127,2,4,1,1,1,1,IMSS
2017,37,99,2,2,127,2,4,7,28,4,1,No IMSS
2017,37,99,2,2,127,2,5,6,18,3,1,No IMSS
2017,37,99,2,2,136,2,3,7,7,1,1,IMSS
2017,27,99,2,2,IM127,2,5,1,1,1,1,No IMSS
2017,27,99,2,2,IM237,1,2,6,12,2,1,No IMSS
2017,27,99,2,2,IM237,1,3,7,7,1,1,No IMSS
2017,27,99,2,2,IM237,1,4,7,7,1,1,No IMSS
2017,27,99,2,2,IM237,1,5,13,39,3,1,No IMSS
2017,27,99,2,2,IM237,1,6,67,67,1,1,No IMSS
2017,27,99,2,2,IM237,2,3,21,21,1,1,No IMSS
2017,27,99,2,2,IM237,2,4,73,73,1,1,No IMSS
2017,27,99,2,2,IM237,2,5,9,18,2,1,No IMSS
2017,28,14,2,2,127,1,3,5,5,1,1,No IMSS
2017,28,14,2,2,127,1,4,7,14,2,1,No IMSS
2017,28,14,2,2,127,1,5,31.666666666666668,190,6,1,No IMSS
2017,28,14,2,2,127,2,4,1,1,1,1,IMSS
2017,28,14,2,2,127,2,4,11.333333333333334,34,3,1,No IMSS
2017,28,14,2,2,127,2,5,68,68,1,1,No IMSS
2017,28,14,2,2,136,2,3,2,2,1,1,No IMSS
2017,27,99,3,2,136,2,2,84,84,1,1,No IMSS
2017,28,14,2,2,49,1,2,1,1,1,1,No IMSS
2017,28,14,2,2,49,1,3,3,6,2,1,No IMSS
2017,28,14,2,2,49,1,4,3.2,16,5,1,No IMSS
2017,28,14,2,2,49,1,5,33,165,5,1,No IMSS
2017,28,14,2,2,49,1,6,6,6,1,1,No IMSS
2017,28,14,2,2,49,2,3,1,1,1,1,No IMSS
2017,28,14,2,2,49,2,4,11.5,46,4,1,No IMSS
2017,28,14,2,2,49,2,5,44.666666666666664,134,3,1,No IMSS
2017,28,14,2,2,49,2,6,35,35,1,1,No IMSS
2017,28,14,2,2,IM127,2,5,1,1,1,1,No IMSS
2017,27,99,1,2,127,1,3,26,26,1,1,No IMSS
2017,27,99,1,2,49,1,3,79,158,2,1,No IMSS
2017,27,99,1,2,49,2,3,28,28,1,1,No IMSS
2017,27,99,1,2,49,2,5,4,4,1,1,No IMSS
2017,27,99,2,2,127,1,2,12.25,49,4,1,No IMSS
2017,27,99,2,2,127,1,3,28.25,226,8,1,No IMSS
2017,27,99,2,2,127,1,4,25.055555555555557,451,18,1,No IMSS
2017,27,99,2,2,127,1,5,45.55555555555556,820,18,1,No IMSS
2017,27,99,2,2,127,1,5,52,208,4,1,IMSS
2017,27,99,2,2,127,1,6,21.5,129,6,1,No IMSS
2017,27,99,2,2,127,1,7,28,28,1,1,No IMSS
2017,27,99,2,2,127,2,2,18,54,3,1,No IMSS
2017,27,99,2,2,127,2,3,10.375,83,8,1,No IMSS
2017,27,99,2,2,127,2,4,17.555555555555557,158,9,1,No IMSS
2017,27,99,2,2,127,2,5,9.142857142857142,64,7,1,No IMSS
2017,27,99,2,2,127,2,5,29,29,1,1,IMSS
2017,27,99,2,2,127,2,6,3,3,1,1,No IMSS
2017,27,99,2,2,136,2,2,4.5,9,2,1,No IMSS
2017,27,99,2,2,136,2,3,3,3,1,1,No IMSS
2017,27,99,2,2,136,2,4,7,7,1,1,No IMSS
2017,27,99,2,2,49,1,2,6.909090909090909,76,11,1,No IMSS
2017,27,99,2,2,49,1,3,3,3,1,1,No IMSS
2017,27,99,2,2,49,1,3,16.025641025641026,625,39,1,No IMSS
2017,27,99,2,2,49,1,4,23.5,94,4,1,IMSS
2017,27,99,2,2,49,1,4,28.52,2139,75,1,No IMSS
2017,27,99,2,2,49,1,5,32.07446808510638,3015,94,1,No IMSS
2017,27,99,2,2,49,1,5,38,152,4,1,IMSS
2017,27,99,2,2,49,1,6,1,1,1,1,IMSS
2017,27,99,2,2,49,1,6,32.3,646,20,1,No IMSS
2017,27,99,2,2,49,2,2,21.142857142857142,148,7,1,No IMSS
2017,27,99,2,2,49,2,3,14.714285714285714,206,14,1,No IMSS
2017,27,99,2,2,49,2,3,20.5,41,2,1,IMSS
2017,27,99,2,2,49,2,4,18.310344827586206,531,29,1,No IMSS
2017,27,99,2,2,49,2,5,15.974358974358974,623,39,1,No IMSS
2017,27,99,2,2,49,2,6,18,18,1,1,IMSS
2017,27,99,2,2,49,2,6,22.5,180,8,1,No IMSS
2017,30,99,1,2,49,1,5,18,18,1,1,No IMSS
2017,30,99,1,2,49,1,6,31,31,1,1,No IMSS
2017,30,99,1,2,49,2,6,10,10,1,1,No IMSS
2017,31,14,2,2,127,1,2,8,8,1,1,No IMSS
2017,31,14,2,2,127,1,3,27,27,1,1,No IMSS
2017,31,14,2,2,127,1,4,7,7,1,1,No IMSS
2017,31,14,2,2,127,1,5,15,60,4,1,No IMSS
2017,31,14,2,2,127,2,4,10,20,2,1,No IMSS
2017,31,14,2,2,127,2,5,41,123,3,1,No IMSS
2017,31,14,2,2,49,1,2,8,16,2,1,No IMSS
2017,31,14,2,2,49,1,3,31.5,63,2,1,No IMSS
2017,31,14,2,2,49,1,4,10.285714285714286,72,7,1,No IMSS
2017,31,14,2,2,49,1,5,14.555555555555555,131,9,1,No IMSS
2017,31,14,2,2,49,1,6,57,57,1,1,No IMSS
2017,31,14,2,2,49,2,2,31,62,2,1,No IMSS
2017,31,14,2,2,49,2,4,8.5,17,2,1,No IMSS
2017,31,14,2,2,49,2,5,6.75,27,4,1,No IMSS
2017,30,99,2,2,127,1,2,7.625,61,8,1,No IMSS
2017,30,99,2,2,127,1,3,26,130,5,1,No IMSS
2017,30,99,2,2,127,1,3,35,35,1,1,IMSS
2017,30,99,2,2,127,1,4,25.2,252,10,1,No IMSS
2017,30,99,2,2,127,1,5,2,2,1,1,IMSS
2017,30,99,2,2,127,1,5,17.863636363636363,393,22,1,No IMSS
2017,30,99,2,2,127,1,6,19,76,4,1,No IMSS
2017,30,99,2,2,127,2,3,6.666666666666667,60,9,1,No IMSS
2017,30,99,2,2,127,2,4,10.444444444444445,94,9,1,No IMSS
2017,30,99,2,2,127,2,5,12.833333333333334,154,12,1,No IMSS
2017,30,99,2,2,136,2,2,3,6,2,1,No IMSS
2017,30,99,2,2,136,2,3,2,4,2,1,No IMSS
2017,30,99,2,2,49,1,2,12.125,97,8,1,No IMSS
2017,30,99,2,2,49,1,3,25.424242424242426,839,33,1,No IMSS
2017,30,99,2,2,49,1,4,2,2,1,1,IMSS
2017,30,99,2,2,49,1,4,24.426666666666666,1832,75,1,No IMSS
2017,30,99,2,2,49,1,5,27.103092783505154,2629,97,1,No IMSS
2017,30,99,2,2,49,1,5,54.5,109,2,1,IMSS
2017,30,99,2,2,49,1,5,56,56,1,1,IMSS
2017,30,99,2,2,49,1,6,28.6,858,30,1,No IMSS
2017,30,99,2,2,49,1,6,50,50,1,1,IMSS
2017,30,99,2,2,49,1,7,62,62,1,1,No IMSS
2017,30,99,2,2,49,2,1,3,3,1,1,No IMSS
2017,30,99,2,2,49,2,2,2,2,1,1,IMSS
2017,30,99,2,2,49,2,2,5.5,55,10,1,No IMSS
2017,30,99,2,2,49,2,3,5.294117647058823,90,17,1,No IMSS
2017,30,99,2,2,49,2,4,2.6666666666666665,8,3,1,IMSS
2017,30,99,2,2,49,2,4,17.044444444444444,767,45,1,No IMSS
2017,30,99,2,2,49,2,5,12.674418604651162,545,43,1,No IMSS
2017,30,99,2,2,49,2,5,25.5,51,2,1,IMSS
2017,30,99,2,2,49,2,6,17.666666666666668,106,6,1,No IMSS
2017,30,99,2,2,IM127,2,5,2.5,5,2,1,No IMSS
2017,30,99,2,2,IM237,1,2,6,6,1,1,No IMSS
2017,30,99,2,2,IM237,1,3,5,10,2,1,No IMSS
2017,30,99,2,2,IM237,1,4,4,4,1,1,No IMSS
2017,30,99,2,2,IM237,1,5,4.8,24,5,1,No IMSS
2017,30,99,2,2,IM237,2,3,5,10,2,1,No IMSS
2017,30,99,2,2,IM237,2,5,18,36,2,1,No IMSS
2017,29,142417,2,2,49,1,2,9,9,1,1,No IMSS
2017,29,99,1,2,49,1,5,42.5,85,2,1,No IMSS
2017,29,99,2,2,49,2,5,2,2,1,1,IMSS
2017,29,99,2,2,49,2,5,16.96969696969697,560,33,1,No IMSS
2017,29,99,2,2,49,2,6,25.333333333333332,76,3,1,No IMSS
2017,28,99,1,2,127,1,4,7,7,1,1,No IMSS
2017,29,99,2,2,IM127,1,3,4,4,1,1,No IMSS
2017,29,99,2,2,IM127,1,5,1,1,1,1,IMSS
2017,28,99,1,2,49,1,4,78,78,1,1,No IMSS
2017,28,99,1,2,49,2,4,27,27,1,1,No IMSS
2017,29,99,2,2,IM237,1,2,17,17,1,1,No IMSS
2017,29,99,2,2,IM237,1,5,2.5,5,2,1,No IMSS
2017,29,99,2,2,IM237,2,4,19,19,1,1,No IMSS
2017,29,99,2,2,IM237,2,5,3.5,7,2,1,No IMSS
